Reference ID,Hymn Number,Title (Myanmar),Title (English),Composer,Category,Scriptures,PDF,PPTX,Verse Count,Lyrics
16,5,"ညဦးအချိန်ကျူး","Abide with me","William H. Mone (1823-1887)","ညဦးယံ","လု၊ ၂၄း၂၉","files/hymn-16.pdf","files/hymn-16.pptx",6,"[Verse 1]
ညဦးအချိန်ရှိပြီ၊ မိုးလည်းချုပ်သည်၊ ကိုယ်တော်အပြင် မစနိုင်သူမရှိ၊
အကျိုးနည်းသူကို ထောက်ပင့်အံ့သောငှာ၊ အကျွန်ုပ်နှင့်ဝင်၍ နေပါဘုရား။

[Verse 2]
အဆုံးတိုင်အောင် အသက်တာ ဆုတ်လျော့သည်၊ မြေကြီးစံစားရာမွဲ၊ ဘုန်းလည်းကွယ်၏
ဤလောက၌ အနိစ္စသာထင်ရှား၊ အမြဲတည်ရှင်၊ ကြွလာနေတော်မူပါ။

[Verse 3]
ဒဏ်ပေးပိုင်မင်းကြီး အာဏာနှင့် မဟုတ်၊ ကရုဏာတော်ြဖင့် ဒုက္ခမှ ရွေးနုတ်၊
သက်သာစေသော အတောင်တော်နှင့်တကွ၊ ကြွလာ အကျွန်ုပ်ထံနေတော်မူပါ။

[Verse 4]
အစဥ် ကိုယ်တော်ကို ဖူးတွေ့လိုပါ၏၊ မာရ်နတ်တန်ခိုး ဘယ်သူချိုးနိုင်သနည်း၊
ကိုယ်တော်မြတ်သာလျှင် တတ်နိုင်တော်မူရာ၊ ဩကျေးဇူးရှင် နေမြဲနေတော်မူပါ။

[Verse 5]
ကောင်းကျိုးပေးရန် အနားမှာနေမူလျှင်၊ ဘေးများအတွက် မစိုးရိမ်ပါအရှင်၊
သေမင်းလက်နက် အဘယ်မှာရှိသနည်း၊ တန်ခိုးတော်အားဖြင့် ကျွန်ုပ်အောင်လိမ့်မည်။

[Verse 6]
လက်ဝါးကပ်တိုင်တော်လင်း ကျေးဇူးအားဖြင့်၊ စုတေ့သော်၊ မျက်စိမှုန် ကိုယ်တော်ဖျောက်လွှင့်၊
ရွှေကောင်းကင်အရုဏ်ထက်၊ မြေကြီးကွယ်သွား၊ ကျွန်ုပ်အပါး နေတော်မူပါ ဘုရား။ (အာမင်)"
87,74,"နားထောင်ကောင်းကင်သား ကြွေးကြော်","Hark the Herald Angels Sing","Felix Mandelson (1809-1847)","ဖွားမြင်တော်မူခြင်း","လုကာ ၂း၁၄","files/hymn-87.pdf","files/hymn-87.pptx",3,"[Verse 1]
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့် ဘုန်းတော်၊
ကမ္ဘာပေါ်တွင် ငြိမ်သက်စေ။ ကောင်းကင်ဘုံတွင် ဘုန်းကြီးစေ၊
ပြစ်ရှိသူများ ချမ်းသာ၍ ဘုရားသခင်နှင့် ဆုံတွေ့၊
ဗက်လင်မြို့တွင် ကယ်တင်ရှင်၊ ဖွားမြင်ပြီ ငါတို့သခင်၊
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့်ဘုန်းတော်။

[Verse 2]
ကောင်းကင်ဘုံ သားတို့ ဘုရင်၊ ထာဝရ ခရစ်တော်ရှင်၊
ချိန်တန်ကာလ ဆင်းသက်၍ ကညာဝမ်း၌ ကိန်းအောင်းလေ၊
လူ့ဇာတိ ကိုယ်တော်မြတ် ဆောင်၊ ကယ်တင်အံ့ငှာ လူတို့ဘောင်၊
ဧမာနွေလ ဆင်းသက်ပြီ၊ လူတို့တွင် တည်တော်မူမည်၊
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့်ဘုန်းတော်။

[Verse 3]
ကောင်းကင်ဖွား ငြိမ်သက်အရှင်၊ တရားမင်း ဘုန်းကြီးဘုရင်၊
အလင်းအသက် စည်းစိမ်မျိုး၊ ဘေးဒဏ်ပေါင်း ကင်းရှင်းတန်ခိုး၊
ပေးပိုင်ရှင် သခင်မြတ်သည် လူထာ၀ရ သက်တည်ကြည်၊
ရစိမ့်သောငှါာ ကောင်းကင်မှ ဆင်းသက်သည်းခံ ဖွားမြင်ရ၊
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့်ဘုန်းတော်။ (အာမင်)"
102,89,"ကျေးဇူးတင်ခြင်းကျူး","When all thy mercies, O my God","N/A","ခရစ်တော်ချီးမွမ်း","၁ ယော၊ ၃း၂","files/hymn-102.pdf","files/hymn-102.pptx",6,"[Verse 1]
သနားခြင်း ကျေးဇူးတော်အပေါင်း၊
ကျွန်ုပ်အောက်မေ့သောခါ၊ ချစ်ခင်စိတ်ရှိ
အံ့ဩဖွယ်ရာ ချီးမွမ်းမကုန်နိုင်ပါ။

[Verse 2]
ကြည့်ရှုခြင်း ကျေးဇူးတော်၊ ကျွန်ုပ်ငယ်၍ မသိနိုင်မီ၊
နှစ်သိမ့်စရာ အတိုင်းထက်များ၊ ကိုယ်တော် ပေးနှင့်မူပြီ။

[Verse 3]
ကျွန်ုပ်ပျိုစဉ်၊ ချော်လဲစရာ လမ်း၌များပြားသော်လည်း၊
ရွှေလက်တော်သည် ယခုတိုင်အောင်၊ ဘေးမဲ့ဆောင်ယူလေပြီ။

[Verse 4]
အသိန်းအသန်း ဆုတော်များကို၊ နေ့တိုင်းဆင်ခြင်လေသော်၊
အမြတ်ဆုံးကား သာယာသောစိတ်၊ ကျေးဇူးတင်တတ်သဘော။

[Verse 5]
ကောင်းမြတ်တော်မူခြင်းကို အစဉ် ကျွန်ုပ်လိုက်လံရှာဖွေ၊
ဘဝပြောင်းလျှင် အထက်ဘုံမှာ၊ ဂုဏ်တော်အကြောင်းကျူးအေး။

[Verse 6]
ကမ္ဘာအဆက်ဆက် ကျေးဇူးတော် သီချင်းဆိုနိုင်သော်ကား၊
သီချင်းသော်လည်း ကျူးသင့်အတိုင်း၊ မမီနိုင်ပါဘုရား။ (အာမင်)"
141,128,"နှလုံးကြေကွဲကျူး","Hearts of stone, relent, relent","N/A","ဝေဒနာတော်ခံခြင်း","ဟေ၊ ၆း၆","files/hymn-141.pdf","files/hymn-141.pptx",3,"[Verse 1]
ကျောက်နှလုံးကြေကွဲ ကြေကွဲ ရှင်ယေရှုလက်ဝါးကပ်ကြည့်၊
ခေါင်းတော်ပေါက် နံပါးတော်ပြဲ၊ ကိုယ်တော်လုံး အသွေးလူး၏၊
ပြစ်ရှိသူဘာပြုမည်နည်း၊ သားတော်ရှင် သင်သတ်ခဲ့ပြီ။

[Verse 2]
မှန်ပေ၏၊ ငါတို့အပြစ် သံချွန်များ ရိုက်ထားသတည်း၊
ဆူးနှင့်ခေါင်းတော်ကို ပတ်ရစ်၊ နံတော်လှံနှင့် ထိုးဖောက်၏၊
ပြစ်ရှိသူမျိုးမျိုးအတွက်၊ ယဇ်ပူဇော် ကိုယ်တော်အသက်။

[Verse 3]
ထပ်မံပြအောင် အားထုတ်လျှင် ဒဏ်ရာတော်အသစ် ပွင့်သော်၊
သွေးတော်မြတ်ပယ်ရှားကျော်နင်း၊ ကိုယ်တော်ကို သတ်ဉီးမည်လော၊
အိုမဟုတ် ငါနောင်တရ၊ ကျေးဇူးရှင် လက်ခံသနား။"
158,145,"ယေရှုအားလုံး ကယ်တင်ရှင်ကျူး","Jesus Saviour of All","N/A","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-158.pdf","files/hymn-158.pptx",4,"[Verse 1]
ယေရှု ကောင်းကင် ကိုစွန့်ခွာ ပြစ်ရှိ သူဖို့ သေရန်လာ၊
ချစ်မေတ္တာ ကြောင့် လွန် မသွား၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
ချစ်မေတ္တာကြောင့် လွန်မသွား၊ ငါ့လို သူငယ်ကို။

[Verse 2]
အမိ များ တို့ ပြု သင့် ရာ၊ ကိုယ်တော် သွန်သင် နေ ရပ် မှာ။
သားငယ် များ ကို ယူဆောင်လာ။ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
သူငယ်များကို ယူဆောင်လာ၊ ငါ့လို သူငယ်ကို။

[Verse 3]
သူတို့ကို ငြင်း ပယ် သလား၊ မဟုတ်၊ ကိုယ်တော် ခေါ် ၍ ထား။
ထံတော်လာ ရန် ဆီး မလာ။ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
ထံတော်လာရန် ဆီးမတား၊ ငါ့လို သူငယ်ကို။

[Verse 4]
ကိုယ်တော် မြတ် ကို ချစ် ကြ လေ၊ အလို တော် လည်း လိုက်ကြချေ။
ချီး မွမ်း ဆုတောင်းခြင်းပြုနေ၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
ချီးမွမ်းဆုတောင်းခြင်းပြုနေ၊ ငါ့လို သူငယ်ကို။"
181,169,"ငါသည် အသက်ရှင်ရာကျူး","For me to live is Christ","George R. Root","ခရစ်တော်လက်ခံခြင်း","N/A","files/hymn-181.pdf","files/hymn-181.pptx",7,"[Verse 1]
ငါသည် အသက်ရှင်ရာ၊ ခရစ်တော်ပင်ဖြစ်၏။
သေလျှင်မူကား၊ အကျိုးချမ်းသာ သာ၍ထူးမြတ်အံ့တည်း။

[Verse 2]
သခင်ဘုရားအတွက် လက်ဝါးကပ်တိုင်တော်ကို၊
ငါအားရသော စိတ်နှင့်ထမ်းလျက် ဒုက္ခခံမည် မျိုးမျိုး။

[Verse 3]
ငါအာဂန္တုဖြစ်သည်၊ ညတိုင်းစခန်းချလျှင်၊
တနေ့တခြား ထက်ကောင်းကင်နီး၊ ယာယီပျက်ဖို့ မျှော်လင့်။

[Verse 4]
သခင်ဘုရားအတူ၊ သမ္မာလမ်းကြောင်းလျှောက်မည်၊
ကိုယ်တော်အတူ ဆင်းရဲခံသူ၊ အဆုံး၌ အောင်မြင်သည်။

[Verse 5]
တောင်ထိပ်ပေါ်အရှဏ်တက်၊ အဝေးကမြင်ရသည်၊
ဤလောကမှောင်မိုက်ကွယ်ပျောက်လျက်၊ မိုးသောက်လင်းစရှိပြီ။

[Verse 6]
တောင်ဝှေးချထားဖို့ရာ၊ အချိန်ရောက်လုနီးပြီ၊
အနတ္တဖြင့် မမြှုနိုင်ပါ၊ သရဖူဆောင်းတော့မည်။

[Verse 7]
အဆုံးတိုင် တည်ကြည်သော်၊ သာဓု၊ ငယ်သားငါ့ထံ၊
လာလော့ မိန့်တော်မူသော သံကို ငါကြားဖို့ နီးလေအံ့။"
234,221,"ပြောင်းလဲခြင်းကျူး","Transformed","B.D. Ackley","ဆက်ကပ်အပ်နှံခြင်း","ရော၊ ၁၂း၂","files/hymn-234.pdf","files/hymn-234.pptx",5,"[Verse 1]
ချစ်ဖွယ်သခင်၊ ကျွန်ုပ်သက်တွင် ရှုပ်ထွေးခြင်းကို ယူပါ၊
ရွှေလက်တော်၏ ဉာဏ်အစွမ်းဖြင့် တင့်တယ်အောင် ပြုမူပါ။

[Chorus]
ကျေးဇူးတော်ကြောင့် ပြောင်းရာ ကိုယ်တော်ရှင့်ဘုန်းတော်သာ၊
ကိုယ်တော်သန့်ရှင်းဆုံး လိုတော်သို့ ငါတို့အားလုံး အပ်စို့။

[Verse 2]
ဝမ်းနည်းစိတ်ပျက် ညိုးငယ်သူတွက် ရွှေလက်တော် ဆန့်မူလျက်၊
ငြိမ်သက်ခြင်းနှင့် ညီညွတ်စေဖို့ ကိုယ်တော်ပြင်ပေးစေလို။

[Verse 3]
ထားခဲ့ကတိကျိုးပျက်လျက်ရှိ၊ ချည်းနှီးနှစ်များ လွန်ပြီ၊
ပြန်ကောင်းစေရန်၊ ငိုကြွေးတောင်းပန် သီချင်းသံဖြင့် ချီးမွမ်း။

[Verse 4]
လောကဆုံးရှုံးမှားယွင်းခြင်းများ ကိုယ်တော် ကုန်စင်ယူပါ၊
ကယ်တင်ရှင်၏ နာမတော်ကို ချီးမွမ်းလျက် သီချင်းဆို။"
327,313,"ဖြောင့်မတ်မည်ကျူး","I would be true","Joseph Yates Peek (1843-1911)","ဆိုင်ပြိုင်တိုက်လှန်ခြင်း","N/A","files/hymn-327.pdf","files/hymn-327.pptx",2,"[Verse 1]
ကျွန်ုပ်ကို ယုံသောသူများကြောင့် ဖြောင့်မတ်မည်၊
ဂရုစိုက်သောသူများကြောင့် သန့်ရှင်းမည်၊
ဆောင်ရွက်ရန်များသောကြောင့် ခွန်အားနှင့် ပြည့်မည်၊
ပင်ပန်းခံရန်များသောကြောင့် ရဲရင့်မည်၊
ပင်ပန်းခံရန်များသောကြောင့် ရဲရင့်မည်။

[Verse 2]
မိတ်ဆွေမဲ့သူနှင့် ရန်သူကို မိတ်ဖွဲ့မည်၊
စွန့်ကြဲကြောင်းမေ့လျက်၊ စွန့်ကြဲပေးကမ်းမည်၊
ကိုယ်အားနည်းကြောင်း ကိုယ်သို၍ စိတ်နှိမ့်ချမည်၊
ရွှင်လန်းချစ်ခင်၊ မျှော်ကြည့်လျက် ထူပင့်မည်၊
ရွှင်လန်းချစ်ခင်၊ မျှော်ကြည့်လျက် ထူပင့်မည်။"
